accession	message	sample_name	sample_title	bioproject_accession	organism	strain	isolate	breed	cultivar	ecotype	age	dev_stage	collection_date	geo_loc_name	sex	tissue	biomaterial_provider	birth_date	birth_location	breeding_history	breeding_method	cell_line	cell_subtype	cell_type	collected_by	culture_collection	death_date	disease	disease_stage	genotype	growth_protocol	health_state	isolation_source	lat_lon	phenotype	sample_type	specimen_voucher	store_cond	stud_book_number	treatment	description	gmgi_sequence_id
SAMN52748517	Successfully loaded	Mae-304	133639		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	8.65	Resting	2022-11-03	USA: Gulf of Maine	female	fin clip																									Mae-304	Mae-304
SAMN52748518	Successfully loaded	Mae-324	141282		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	4.65	Resting	2022-11-05	USA: Gulf of Maine	male	fin clip																									Mae-324	Mae-324
SAMN52748519	Successfully loaded	Mae-325	141285		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	6.65	Resting	2022-11-05	USA: Gulf of Maine	male	fin clip																									Mae-325	Mae-325
SAMN52748520	Successfully loaded	Mae-331	141307		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.65	Resting	2022-11-05	USA: Gulf of Maine	female	fin clip																									Mae-331	Mae-331
SAMN52748521	Successfully loaded	Mae-332	141321		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	9.65	Spent	2022-11-05	USA: Gulf of Maine	male	fin clip																									Mae-332	Mae-332
SAMN52748522	Successfully loaded	Mae-334	141767		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	4.65	Resting	2022-11-05	USA: Gulf of Maine	female	fin clip																									Mae-334	Mae-334
SAMN52748523	Successfully loaded	Mae-337	141784		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	7.65	Resting	2022-11-05	USA: Gulf of Maine	female	fin clip																									Mae-337	Mae-337
SAMN52748524	Successfully loaded	Mae-340	142410		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	6.65	Resting	2022-11-05	USA: Gulf of Maine	male	fin clip																									Mae-340	Mae-340
SAMN52748525	Successfully loaded	Mae-346	144830		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	9.65	Resting	2022-11-06	USA: Gulf of Maine	male	fin clip																									Mae-346	Mae-346
SAMN52748526	Successfully loaded	Mae-348	144847		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.65	Resting	2022-11-06	USA: Gulf of Maine	female	fin clip																									Mae-348	Mae-348
SAMN52748527	Successfully loaded	Mae-351	147253		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	5.65	Resting	2022-11-07	USA: Gulf of Maine	female	fin clip																									Mae-351	Mae-351
SAMN52748528	Successfully loaded	Mae-355	150319		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1.65	Resting	2022-11-07	USA: Gulf of Maine	male	fin clip																									Mae-355	Mae-355
SAMN52748529	Successfully loaded	Mae-358	152043		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1.65	Resting	2022-11-08	USA: Gulf of Maine	male	fin clip																									Mae-358	Mae-358
SAMN52748530	Successfully loaded	Mae-363	154971		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	6.65	Resting	2022-11-09	USA: Gulf of Maine	female	fin clip																									Mae-363	Mae-363
SAMN52748531	Successfully loaded	Mae-364	154973		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.65	Resting	2022-11-09	USA: Gulf of Maine	male	fin clip																									Mae-364	Mae-364
SAMN52748532	Successfully loaded	Mae-366	155009		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.65	Resting	2022-11-09	USA: Gulf of Maine	female	fin clip																									Mae-366	Mae-366
SAMN52748533	Successfully loaded	Mae-374	156754		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2.65	Resting	2022-11-10	USA: Gulf of Maine	female	fin clip																									Mae-374	Mae-374
SAMN52748534	Successfully loaded	Mae-377	157595		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1.65	Immature	2022-11-10	USA: Gulf of Maine	male	fin clip																									Mae-377	Mae-377
SAMN52748535	Successfully loaded	Mae-381	158014		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	6.65	Resting	2022-11-10	USA: Gulf of Maine	female	fin clip																									Mae-381	Mae-381
SAMN52748536	Successfully loaded	Mae-386	158203		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	7.65	Resting	2022-11-10	USA: Gulf of Maine	female	fin clip																									Mae-386	Mae-386
SAMN52748537	Successfully loaded	Mae-394	158963		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	9.65	Developing	2022-11-10	USA: Gulf of Maine	female	fin clip																									Mae-394	Mae-394
SAMN52748538	Successfully loaded	Mae-398	164779		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1.65	Immature	2022-11-11	USA: Gulf of Maine	female	fin clip																									Mae-398	Mae-398
SAMN52748539	Successfully loaded	Mae-404	176056		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	4.65	Resting	2022-11-13	USA: Gulf of Maine	male	fin clip																									Mae-404	Mae-404
SAMN52748540	Successfully loaded	Mae-407	176069		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	7.65	Resting	2022-11-13	USA: Gulf of Maine	female	fin clip																									Mae-407	Mae-407
SAMN52748541	Successfully loaded	Mae-409	176108		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3.65	Resting	2022-11-13	USA: Gulf of Maine	female	fin clip																									Mae-409	Mae-409
SAMN52748542	Successfully loaded	Mae-412	176396		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	0.65	Immature	2022-11-13	USA: Gulf of Maine	male	fin clip																									Mae-412	Mae-412
SAMN52748543	Successfully loaded	Mae-418	178222		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	9.65	Resting	2022-11-13	USA: Gulf of Maine	male	fin clip																									Mae-418	Mae-418
SAMN52748544	Successfully loaded	Mae-423	187139		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	0.65	Immature	2022-11-15	USA: Gulf of Maine	female	fin clip																									Mae-423	Mae-423
SAMN52748545	Successfully loaded	Mae-426	3946		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	7.2	Resting	2023-05-11	USA: Gulf of Maine	female	fin clip																									Mae-426	Mae-426
SAMN52748546	Successfully loaded	Mae-431	4020		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10.2	Resting	2023-05-11	USA: Gulf of Maine	female	fin clip																									Mae-431	Mae-431
SAMN52748547	Successfully loaded	Mae-435	4025		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	10.2	Resting	2023-05-11	USA: Gulf of Maine	female	fin clip																									Mae-435	Mae-435
SAMN52748548	Successfully loaded	Mae-438	4030		Melanogrammus aeglefinus	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	7.2	Resting	2023-05-11	USA: Gulf of Maine	female	fin clip																									Mae-438	Mae-438
